Total Error, action, LearnRate, InvestigationRate, Reward, Cache Size, High Error, Enhanced Count, Position of Low Error, Position of High Error, learn count
0.00617137501889687,1,0.01,90,1,0,0,10,0,0,286
0.00615766338542848,1,0.01,90,1,0,0,10,0,0,287
0.00614401025742459,1,0.01,90,1,0,0,10,0,0,288
0.00613041527943263,1,0.01,90,1,0,0,10,0,0,289
0.0685337564071719,0,0.01,90,0.66,0,0,10,0,0,290
0.00753753670061651,1,0.01,90,1,0,0,10,0,0,291
0.00614940003057426,1,0.01,90,1,0,0,10,0,0,292
0.0061357816653449,1,0.01,90,1,0,0,10,0,0,293
0.00612222123890475,1,0.01,90,1,0,0,10,0,0,294
0.0061087184001855,1,0.01,90,1,0,0,10,0,0,295
0.00609527280082568,1,0.01,90,1,0,0,10,0,0,296
0.00608188409514592,1,0.01,90,1,0,0,10,0,0,297
0.00606855194012406,1,0.01,90,1,0,0,10,0,0,298
0.00605527599537072,1,0.01,90,1,0,0,10,0,0,299
0.00604205592310496,1,0.01,90,1,0,0,10,0,0,300
0.350883337054814,1,0.01,90,0.33,0,0,10,0,0,301
0.00690141027045634,1,0.01,90,1,0,0,10,0,0,302
0.0061139331028109,1,0.01,90,1,0,0,10,0,0,303
0.00610046581801733,1,0.01,90,1,0,0,10,0,0,304
0.00608705555564466,1,0.01,90,1,0,0,10,0,0,305
0.00607370197169503,1,0.01,90,1,0,0,10,0,0,306
0.00606040472481229,1,0.01,90,1,0,0,10,0,0,307
0.0060471634762575,1,0.01,90,1,0,0,10,0,0,308
0.00603397788988497,1,0.01,90,1,0,0,10,0,0,309
0.00602084763211851,1,0.01,90,1,0,0,10,0,0,310
0.00600777237192777,1,0.01,90,1,0,0,10,0,0,311
0.00599475178080489,1,0.01,90,1,0,0,10,0,0,312
0.00598178553274158,1,0.01,90,1,0,0,10,0,0,313
0.00596887330420622,1,0.01,90,1,0,0,10,0,0,314
0.00595601477412127,1,0.01,90,1,0,0,10,0,0,315
0.00594320962384098,1,0.01,90,1,0,0,10,0,0,316
0.00593045753712922,1,0.01,90,1,0,0,10,0,0,317
0.00591775820013768,1,0.01,90,1,0,0,10,0,0,318
0.00590511130138412,1,0.01,90,1,0,0,10,0,0,319
0.351930459949256,1,0.01,90,0.33,0,0,10,0,0,320
0.345606849640716,1,0.01,90,0.33,0,0,10,0,0,321
0.841458022813115,0,0.01,90,0,0,0,10,0,0,322
