Total Error, action, LearnRate, InvestigationRate, Reward, Cache Size, High Error, Enhanced Count, Position of Low Error, Position of High Error, learn count,,,,,,,
0.025526024,0,0.00972868,90.24783442,0.66,20,0.250231396,0,4,20,217,,,,,,,
0.026156348,0,0.009723816,90.25234681,0.66,20,0.251732233,0,0,20,219,,,,,,,
0.025524455,0,0.009718954,90.25685943,0.66,20,0.250236308,0,4,20,221,,,,,,,
0.026154154,0,0.009714094,90.26137227,0.66,20,0.251725427,0,0,20,223,,,,,,,
0.025522903,0,0.009709237,90.26588534,0.66,20,0.250241169,0,4,20,225,,,,,,,
0.026151977,0,0.009704383,90.27039864,0.66,20,0.251718672,0,0,20,227,,,,,,,
0.249754141,1,0.00969953,90.27491216,1,20,0.250784898,0,0,1,229,,,,,,,
0.029303789,1,0.009694681,90.2794259,0.33,20,0.250335968,0,3,1,231,,,,,,,
0.250294403,0,0.009689833,90.28393987,0,20,0.250294403,0,2,1,233,,,,,,,
0.025744468,0,0.009684988,90.28845407,0.66,20,0.250451032,0,0,20,235,,,,,,,
0.025530409,0,0.009680146,90.29296849,0.66,20,0.250217667,0,1,20,237,,,,,,,
0.026157783,0,0.009675306,90.29748314,0.66,20,0.251736684,0,0,20,239,,,,,,,
0.025528825,0,0.009670468,90.30199801,0.66,20,0.250222626,0,1,20,241,,,,,,,
0.026155576,0,0.009665633,90.30651311,0.66,20,0.251729839,0,0,20,243,,,,,,,
0.025527257,0,0.0096608,90.31102844,0.66,20,0.250227535,0,1,20,245,,,,,,,
0.026153387,0,0.00965597,90.31554399,0.66,20,0.251723046,0,0,20,247,,,,,,,
0.025525706,0,0.009651142,90.32005977,0.66,20,0.250232393,0,1,20,249,,,,,,,
0.026151214,0,0.009646316,90.32457577,0.66,20,0.251716305,0,0,20,251,,,,,,,
0.02552417,0,0.009641493,90.329092,0.66,20,0.250237202,0,1,20,253,,,,,,,
0.026149058,0,0.009636672,90.33360845,0.66,20,0.251709615,0,0,20,255,,,,,,,
0.02552265,0,0.009631854,90.33812514,0.66,20,0.250241961,0,1,20,257,,,,,,,
0.026146918,0,0.009627038,90.34264204,0.66,20,0.251702977,0,0,20,259,,,,,,,
0.025521145,0,0.009622224,90.34715917,0.66,20,0.250246672,0,1,20,261,,,,,,,
0.026144795,0,0.009617413,90.35167653,0.66,20,0.251696388,0,0,20,263,,,,,,,
0.025519656,0,0.009612605,90.35619412,0.66,20,0.250251335,0,1,20,265,,,,,,,
0.026142687,0,0.009607798,90.36071193,0.66,20,0.25168985,0,0,20,267,,,,,,,
0.025518183,0,0.009602994,90.36522996,0.66,20,0.25025595,0,1,20,269,,,,,,,
0.026140596,0,0.009598193,90.36974822,0.66,20,0.251683361,0,0,20,271,,,,,,,
0.025516724,0,0.009593394,90.37426671,0.66,20,0.250260517,0,1,20,273,,,,,,,
0.026138521,0,0.009588597,90.37878542,0.66,20,0.251676922,0,0,20,275,,,,,,,
0.02551528,0,0.009583803,90.38330436,0.66,20,0.250265038,0,1,20,277,,,,,,,
0.026136461,0,0.009579011,90.38782353,0.66,20,0.25167053,0,0,20,279,,,,,,,
0.249730632,1,0.009574221,90.39234292,1,20,0.250789441,0,0,3,281,,,,,,,
0.029287182,1,0.009569434,90.39686254,0.33,20,0.250263044,0,1,3,283,,,,,,,
0.250300548,0,0.00956465,90.40138238,0,20,0.250300548,0,1,3,285,,,,,,,
0.025718637,0,0.009559867,90.40590245,0.66,20,0.250370448,0,0,20,287,,,,,,,
0.025522142,0,0.009555087,90.41042274,0.66,20,0.250243552,0,1,20,289,,,,,,,
0.02614164,0,0.00955031,90.41494326,0.66,20,0.251686601,0,0,20,291,,,,,,,
0.025520671,0,0.009545535,90.41946401,0.66,20,0.250248158,0,1,20,293,,,,,,,
0.026139555,0,0.009540762,90.42398498,0.66,20,0.251680132,0,0,20,295,,,,,,,
0.025519215,0,0.009535991,90.42850618,0.66,20,0.250252717,0,1,20,297,,,,,,,
0.026137486,0,0.009531223,90.43302761,0.66,20,0.251673711,0,0,20,299,,,,,,,
0.025517774,0,0.009526458,90.43754926,0.66,20,0.25025723,0,1,20,301,,,,,,,
0.026135432,0,0.009521695,90.44207114,0.66,20,0.251667338,0,0,20,303,,,,,,,
0.025516347,0,0.009516934,90.44659324,0.66,20,0.250261697,0,1,20,305,,,,,,,
0.026133394,0,0.009512175,90.45111557,0.66,20,0.251661013,0,0,20,307,,,,,,,
0.025514936,0,0.009507419,90.45563813,0.66,20,0.250266118,0,1,20,309,,,,,,,
0.026131371,0,0.009502666,90.46016091,0.66,20,0.251654736,0,0,20,311,,,,,,,
0.025513538,0,0.009497914,90.46468392,0.66,20,0.250270494,0,1,20,313,,,,,,,
0.026129364,0,0.009493165,90.46920715,0.66,20,0.251648505,0,0,20,315,,,,,,,
0.025512156,0,0.009488419,90.47373061,0.66,20,0.250274825,0,1,20,317,,,,,,,
0.026127371,0,0.009483674,90.4782543,0.66,20,0.251642321,0,0,20,319,,,,,,,
0.025510787,0,0.009478933,90.48277821,0.66,20,0.250279113,0,1,20,321,,,,,,,
0.026125393,0,0.009474193,90.48730235,0.66,20,0.251636183,0,0,20,323,,,,,,,
0.025509432,0,0.009469456,90.49182671,0.66,20,0.250283356,0,1,20,325,,,,,,,
